County,Year,First_day_big_freeze,Cumulative_GDD_1001-First Big Freeze,Cumulative_GDD_1001-0501,Cumulative_FDD_1001-0501,Cumulative_precip_mm_1001-0501,Cumulative_precip_mm_1001-1130,Cumulative_precip_mm_0301-0430,Cumulative_precip_mm_1001-1101,Cumulative_precip_mm_0301-0401,Min_average_tempC,Date_min_avg_temp,
"Macoupin, IL",2014-2015,11/12/2014,367.33,833.63,661.10,622.48,297.08,181.47,239.37,54.72,-13.93,2/23/2015,
"Macoupin, IL",2015-2016,1/3/2016,621.21,1158.75,300.41,658.21,177.43,170.47,32.82,77.26,-12.25,1/18/2016,
"Macoupin, IL",2016-2017,12/7/2016,595.83,1295.16,335.27,500.98,99.27,321.38,55.47,91.52,-12.95,12/18/2016,
"Macoupin, IL",2017-2018,12/7/2017,509.87,860.38,537.33,445.82,113.69,190.46,87.19,138.02,-18.97,1/1/2018,
"Macoupin, IL",2018-2019,11/13/2018,349.08,821.12,495.69,747.96,164.93,286.12,97.93,153.59,-18.52,1/30/2019,
"Macoupin, IL",2019-2020,11/11/2019,310.45,802.84,356.42,703.71,195.61,234.46,127.49,105.28,-9.57,2/14/2020,
"Macoupin, IL",2020-2021,12/14/2020,444.66,885.11,477.99,526.94,149.96,228.07,56.73,121.68,-15.93,2/14/2021,
"Macoupin, IL",2021-2022,1/2/2022,589.83,963.76,479.65,521.01,100.76,245.13,91.03,133.96,-12.14,1/20/2022,
"Macoupin, IL",2022-2023,11/16/2022,400.77,933.31,278.62,488.43,136.84,185.31,81.95,120.98,-15.06,12/23/2022,
"Central IL (Logan County) 40.102 N, -89.357 W",2013-2014,11/12/2013,345.29,723.48,1011.67,472.97,139.06,148.56,103.08,50.31,-19.91,1/6/2014,
"Central IL (Logan County) 40.102 N, -89.357 W",2014-2015,11/12/2014,342.28,736.91,795.89,369.94,154.58,99.62,99.77,40.79,-16.10,1/7/2015,
"Central IL (Logan County) 40.102 N, -89.357 W",2015-2016,11/21/2015,467.10,1070.60,354.67,538.35,139.34,175.28,38.38,103.06,-13.32,1/18/2016,
"Central IL (Logan County) 40.102 N, -89.357 W",2016-2017,11/19/2016,551.79,1203.42,399.40,471.30,120.58,266.95,56.68,103.05,-16.02,12/19/2016,
"Central IL (Logan County) 40.102 N, -89.357 W",2017-2018,12/7/2017,469.37,758.58,626.51,477.47,173.94,160.62,137.92,107.45,-19.50,1/1/2018,
"Central IL (Logan County) 40.102 N, -89.357 W",2018-2019,11/13/2018,326.54,728.62,589.20,719.48,159.83,250.85,109.38,121.37,-20.88,1/30/2019,
"Central IL (Logan County) 40.102 N, -89.357 W",2019-2020,11/11/2019,290.97,707.09,405.76,651.80,167.46,264.32,121.35,82.34,-11.01,2/14/2020,
"Central IL (Logan County) 40.102 N, -89.357 W",2020-2021,11/30/2020,404.12,821.01,584.47,419.46,87.43,182.65,33.80,121.96,-16.25,2/14/2021,
"Central IL (Logan County) 40.102 N, -89.357 W",2021-2022,1/1/2022,531.07,860.55,562.93,478.42,153.16,176.09,139.90,110.13,-13.11,1/26/2022,
"Central IL (Logan County) 40.102 N, -89.357 W",2022-2023,11/16/2022,374.82,830.35,315.76,429.78,139.00,117.20,87.42,76.86,-15.37,12/23/2022,
"Southern IL (Jefferson County) 38.292 N, -88.778 W",2013-2014,11/23/2013,449.08,925.99,685.36,494.24,168.97,180.87,125.05,12.80,-17.24,1/6/2014,
"Southern IL (Jefferson County) 38.292 N, -88.778 W",2014-2015,11/12/2014,414.12,967.68,529.62,562.13,153.14,228.02,107.15,126.62,-12.38,2/23/2015,
"Southern IL (Jefferson County) 38.292 N, -88.778 W",2015-2016,1/3/2016,729.10,1346.86,243.83,586.93,168.31,181.17,27.05,71.84,-11.51,1/18/2016,
"Southern IL (Jefferson County) 38.292 N, -88.778 W",2016-2017,12/8/2016,648.14,1469.88,247.63,444.50,109.09,55.00,30.71,255.37,-9.74,12/19/2016,
"Southern IL (Jefferson County) 38.292 N, -88.778 W",2017-2018,12/7/2017,564.83,1018.30,421.68,618.78,183.12,195.56,126.01,131.50,-15.21,1/1/2018,
"Southern IL (Jefferson County) 38.292 N, -88.778 W",2018-2019,11/13/2018,377.41,962.88,339.57,715.83,116.24,239.34,64.09,115.59,-14.22,1/30/2019,
"Southern IL (Jefferson County) 38.292 N, -88.778 W",2019-2020,11/12/2019,356.82,988.04,220.83,854.03,285.39,287.00,191.36,170.10,-7.07,2/14/2020,
"Southern IL (Jefferson County) 38.292 N, -88.778 W",2020-2021,12/24/2020,526.58,1020.07,343.66,680.99,239.85,216.31,108.14,143.37,-12.52,2/16/2021,
"Southern IL (Jefferson County) 38.292 N, -88.778 W",2021-2022,1/5/2022,667.92,1109.92,350.48,668.54,133.80,256.56,89.38,126.50,-9.44,1/26/2022,
"Southern IL (Jefferson County) 38.292 N, -88.778 W",2022-2023,1/16/2022,438.03,1122.79,217.43,610.40,95.66,284.55,41.28,177.90,-14.42,12/23/2022,
"Western NY (Livingston County) 42.600 N, -77.797 W",2013-2014,11/23/2013,263.85,373.56,1298.24,395.07,145.37,130.92,91.46,53.20,-17.81,1/7/2014,
"Western NY (Livingston County) 42.600 N, -77.797 W",2014-2015,11/13/2014,243.94,378.08,1362.18,303.35,112.61,102.14,65.79,29.47,-20.38,2/16/2015,
"Western NY (Livingston County) 42.600 N, -77.797 W",2015-2016,12/18/2015,298.88,491.36,647.94,392.28,115.77,78.51,83.65,40.70,-15.39,2/14/2016,
"Western NY (Livingston County) 42.600 N, -77.797 W",2016-2017,11/20/2016,299.38,588.90,742.06,589.68,197.79,179.79,161.97,79.74,-11.23,3/4/2017,
"Western NY (Livingston County) 42.600 N, -77.797 W",2017-2018,12/7/2017,298.55,378.26,1010.35,475.93,207.35,123.38,148.15,63.38,-17.89,1/6/2018,
"Western NY (Livingston County) 42.600 N, -77.797 W",2018-2019,11/13/2018,209.01,381.15,1012.28,487.66,214.79,108.32,149.82,27.24,-18.95,1/21/2019,
"Western NY (Livingston County) 42.600 N, -77.797 W",2019-2020,11/11/2019,210.88,326.12,812.62,426.99,119.53,135.57,103.20,58.64,-10.84,12/19/2019,
"Western NY (Livingston County) 42.600 N, -77.797 W",2020-2021,12/5/2020,269.66,470.58,889.90,344.77,114.30,114.42,77.70,30.14,-13.17,2/8/2021,
"Western NY (Livingston County) 42.600 N, -77.797 W",2021-2022,11/27/2021,324.29,478.52,923.25,457.67,187.68,103.59,147.42,49.51,-16.67,1/29/2022,
"Western NY (Livingston County) 42.600 N, -77.797 W",2022-2023,11/17/2022,262.20,474.21,568.79,397.21,109.09,152.55,19.62,93.64,-12.74,12/24/2022,
