"year","county","crop_name","harv_ac"
2016,"Macoupin","Corn",182400
2015,"Macoupin","Corn",185800
2021,"Madison","Corn",104100
2020,"Madison","Corn",104300
2019,"Madison","Corn",97600
2018,"Madison","Corn",101400
2017,"Madison","Corn",103600
2016,"Madison","Corn",108500
2015,"Madison","Corn",112100
2021,"Marion","Corn",78600
2020,"Marion","Corn",77500
2019,"Marion","Corn",60700
2018,"Marion","Corn",60600
2017,"Marion","Corn",71900
2016,"Marion","Corn",66800
2015,"Marion","Corn",76700
2021,"Marshall","Corn",93200
2020,"Marshall","Corn",91900
2019,"Marshall","Corn",96500
2018,"Marshall","Corn",95300
2017,"Marshall","Corn",96800
2016,"Marshall","Corn",101100
2015,"Marshall","Corn",98800
2021,"Mason","Corn",116300
2020,"Mason","Corn",119900
2019,"Mason","Corn",127000
2017,"Mason","Corn",116800
2016,"Mason","Corn",129800
2015,"Mason","Corn",132300
2020,"Massac","Corn",22000
2019,"Massac","Corn",21400
2017,"Massac","Corn",21200
2016,"Massac","Corn",24500
2015,"Massac","Corn",23800
2020,"McDonough","Corn",138100
2019,"McDonough","Corn",133700
2018,"McDonough","Corn",135900
2017,"McDonough","Corn",144100
2016,"McDonough","Corn",149700
2015,"McDonough","Corn",150500
2020,"McHenry","Corn",85000
2018,"McHenry","Corn",87300
2017,"McHenry","Corn",84500
2016,"McHenry","Corn",93800
2015,"McHenry","Corn",91000
2021,"McLean","Corn",313000
2020,"McLean","Corn",311500
2019,"McLean","Corn",310500
2018,"McLean","Corn",312000
2017,"McLean","Corn",305000
2016,"McLean","Corn",322500
2015,"McLean","Corn",317000
2021,"Menard","Corn",75400
2020,"Menard","Corn",77200
2017,"Menard","Corn",77800
2016,"Menard","Corn",81500
2015,"Menard","Corn",80000
2020,"Mercer","Corn",145300
2019,"Mercer","Corn",134500
2018,"Mercer","Corn",139400
2017,"Mercer","Corn",136600
2016,"Mercer","Corn",141600
2015,"Mercer","Corn",138000
2021,"Monroe","Corn",50700
2020,"Monroe","Corn",48800
2019,"Monroe","Corn",35800
2018,"Monroe","Corn",48600
2017,"Monroe","Corn",46100
2016,"Monroe","Corn",52300
2015,"Monroe","Corn",49200
2021,"Montgomery","Corn",154000
2020,"Montgomery","Corn",159500
2019,"Montgomery","Corn",150700
2018,"Montgomery","Corn",155300
2017,"Montgomery","Corn",156200
2016,"Montgomery","Corn",167000
2015,"Montgomery","Corn",162000
2020,"Morgan","Corn",131800
2019,"Morgan","Corn",130700
2018,"Morgan","Corn",129700
2017,"Morgan","Corn",131000
2016,"Morgan","Corn",146900
2015,"Morgan","Corn",144100
2021,"Moultrie","Corn",81000
2020,"Moultrie","Corn",84700
2019,"Moultrie","Corn",86600
2018,"Moultrie","Corn",86600
2017,"Moultrie","Corn",84700
2016,"Moultrie","Corn",89500
2015,"Moultrie","Corn",88200
2021,"Ogle","Corn",213500
2020,"Ogle","Corn",230500
2019,"Ogle","Corn",204000
2018,"Ogle","Corn",211500
2017,"Ogle","Corn",214000
2016,"Ogle","Corn",220000
2015,"Ogle","Corn",234000
2021,"Peoria","Corn",101200
2020,"Peoria","Corn",105300
2019,"Peoria","Corn",99900
2018,"Peoria","Corn",103000
2017,"Peoria","Corn",101800
2016,"Peoria","Corn",106300
2015,"Peoria","Corn",106100
2020,"Perry","Corn",45900
2018,"Perry","Corn",41500
2017,"Perry","Corn",44000
2016,"Perry","Corn",46100
2015,"Perry","Corn",48000
2021,"Piatt","Corn",122400
2020,"Piatt","Corn",120400
2019,"Piatt","Corn",130800
2018,"Piatt","Corn",121800
2017,"Piatt","Corn",132500
2016,"Piatt","Corn",136400
2015,"Piatt","Corn",139000
2020,"Pike","Corn",155900
2018,"Pike","Corn",148300
2017,"Pike","Corn",149500
2016,"Pike","Corn",175400
2015,"Pike","Corn",171100
2020,"Pope","Corn",6480
2016,"Pope","Corn",7500
2015,"Pope","Corn",7400
2021,"Pulaski","Corn",16400
2020,"Pulaski","Corn",15000
2019,"Pulaski","Corn",13400
2017,"Pulaski","Corn",13200
2016,"Pulaski","Corn",16800
2015,"Pulaski","Corn",18500
2021,"Putnam","Corn",31800
2020,"Putnam","Corn",32500
2018,"Putnam","Corn",32000
2017,"Putnam","Corn",34000
2016,"Putnam","Corn",37000
2015,"Putnam","Corn",35300
2021,"Randolph","Corn",64900
2020,"Randolph","Corn",62000
2019,"Randolph","Corn",51400
2018,"Randolph","Corn",58100
2017,"Randolph","Corn",60100
2016,"Randolph","Corn",65300
2015,"Randolph","Corn",57500
2020,"Richland","Corn",73100
2018,"Richland","Corn",68200
2017,"Richland","Corn",74000
2016,"Richland","Corn",70900
2015,"Richland","Corn",76000
2021,"Rock Island","Corn",66600
2020,"Rock Island","Corn",65500
2018,"Rock Island","Corn",66000
2017,"Rock Island","Corn",63300
2016,"Rock Island","Corn",59700
2015,"Rock Island","Corn",67100
2021,"Saline","Corn",48600
2020,"Saline","Corn",45700
2018,"Saline","Corn",37600
2017,"Saline","Corn",42200
2016,"Saline","Corn",41900
2015,"Saline","Corn",44300
2021,"Sangamon","Corn",191000
2020,"Sangamon","Corn",220000
2019,"Sangamon","Corn",221000
2018,"Sangamon","Corn",189100
2017,"Sangamon","Corn",206500
2016,"Sangamon","Corn",229500
2015,"Sangamon","Corn",228000
2021,"Schuyler","Corn",59700
2020,"Schuyler","Corn",60900
2019,"Schuyler","Corn",54600
2018,"Schuyler","Corn",62500
2017,"Schuyler","Corn",64900
2016,"Schuyler","Corn",71600
2015,"Schuyler","Corn",70100
2021,"Scott","Corn",49200
2020,"Scott","Corn",53600
2017,"Scott","Corn",47100
2016,"Scott","Corn",55000
2015,"Scott","Corn",51100
2021,"Shelby","Corn",162400
2020,"Shelby","Corn",171600
2019,"Shelby","Corn",165300
2018,"Shelby","Corn",167700
2017,"Shelby","Corn",165800
2016,"Shelby","Corn",176000
2015,"Shelby","Corn",179500
2021,"St. Clair","Corn",91100
2020,"St. Clair","Corn",93500
2019,"St. Clair","Corn",84900
2018,"St. Clair","Corn",89900
2017,"St. Clair","Corn",86900
2016,"St. Clair","Corn",94700
2015,"St. Clair","Corn",83800
2021,"Stark","Corn",85000
2020,"Stark","Corn",86700
2019,"Stark","Corn",90400
2018,"Stark","Corn",86300
2017,"Stark","Corn",91500
2016,"Stark","Corn",97200
2015,"Stark","Corn",90400
2021,"Stephenson","Corn",154000
2020,"Stephenson","Corn",161100
2019,"Stephenson","Corn",158400
2018,"Stephenson","Corn",157700
2017,"Stephenson","Corn",164900
2016,"Stephenson","Corn",175400
2015,"Stephenson","Corn",168600
2021,"Tazewell","Corn",141100
2020,"Tazewell","Corn",138600
2019,"Tazewell","Corn",138800
