"year","county","harv_ac"
2021,"Stark",85000
2020,"Stark",86700
2019,"Stark",90400
2018,"Stark",86300
2017,"Stark",91500
2016,"Stark",97200
2015,"Stark",90400
2021,"Stephenson",154000
2020,"Stephenson",161100
2019,"Stephenson",158400
2018,"Stephenson",157700
2017,"Stephenson",164900
2016,"Stephenson",175400
2015,"Stephenson",168600
2021,"Tazewell",141100
2020,"Tazewell",138600
2019,"Tazewell",138800
2018,"Tazewell",137200
2017,"Tazewell",142700
2016,"Tazewell",144000
2015,"Tazewell",147900
2021,"Union",11500
2020,"Union",11600
2019,"Union",8200
2017,"Union",9700
2016,"Union",13200
2021,"Vermilion",210500
2020,"Vermilion",215500
2018,"Vermilion",215000
2017,"Vermilion",214000
2016,"Vermilion",224500
2015,"Vermilion",224500
2021,"Wabash",48000
2020,"Wabash",50300
2019,"Wabash",41700
2017,"Wabash",46600
2016,"Wabash",45500
2015,"Wabash",42800
2020,"Warren",149300
2019,"Warren",151500
2018,"Warren",147400
2017,"Warren",152700
2016,"Warren",161800
2015,"Warren",157100
2021,"Washington",100700
2020,"Washington",97700
2019,"Washington",82600
2018,"Washington",91700
2017,"Washington",96600
2016,"Washington",98300
2015,"Washington",95600
2020,"Wayne",127300
2018,"Wayne",109300
2017,"Wayne",109000
2021,"White",93500
2020,"White",92600
2019,"White",68900
2018,"White",82700
2017,"White",78200
2016,"White",83600
2015,"White",82800
2021,"Whiteside",213500
2020,"Whiteside",223000
2019,"Whiteside",186800
2018,"Whiteside",223000
2017,"Whiteside",221000
2016,"Whiteside",233000
2015,"Whiteside",229500
2021,"Will",88000
2020,"Will",89200
2018,"Will",91600
2017,"Will",85800
2015,"Will",97100
2020,"Williamson",18500
2019,"Williamson",14500
2018,"Williamson",17000
2017,"Williamson",14200
2016,"Williamson",13400
2015,"Williamson",16100
2021,"Winnebago",84100
2020,"Winnebago",90500
2019,"Winnebago",80300
2018,"Winnebago",90600
2017,"Winnebago",73600
2016,"Winnebago",80100
2015,"Winnebago",80000
2021,"Woodford",116000
2020,"Woodford",121900
2019,"Woodford",121300
2018,"Woodford",122900
2017,"Woodford",128100
2016,"Woodford",133200
2015,"Woodford",127700
