Year,Crop,FIPS,County,Total transects,Avg. soil loss (ton/ac),Avg. soil loss if all fields conventionally tilled (ton/ac),No till no.  transects,No-till % acres,No-till avg. soil loss (ton/ac),Mulch till no.  transects,Mulch till % acres,Mulch till avg. soil loss (ton/ac),Reduced till no.  transects,Reduced till % acres,Reduced till avg. soil loss (ton/ac),Conventional till no.  transects,Conventional till % acres,Conventional till avg. soil loss (ton/ac)
2018,soybean,177,Stephenson,193,1.47,5.79,107,55.40,0.71,69,35.80,1.90,12,6.20,3.98,5,2.60,5.99
2018,soybean,179,Tazewell,225,1.33,4.22,74,32.90,0.91,94,41.80,1.08,52,23.10,2.23,5,2.20,3.00
2018,soybean,181,Union,84,6.25,17.95,51,60.70,2.73,12,14.30,8.32,3,3.60,6.34,18,21.40,14.83
2018,soybean,183,Vermilion,219,1.38,2.83,9,4.10,0.32,89,40.60,0.72,87,39.70,1.59,34,15.50,2.87
2018,soybean,185,Wabash,243,2.13,6.07,92,37.90,0.87,103,42.40,1.54,21,8.60,2.32,27,11.10,8.57
2018,soybean,187,Warren,209,0.86,4.30,90,43.10,0.78,101,48.30,0.79,15,7.20,0.90,3,1.40,1.92
2018,soybean,189,Washington,223,2.36,4.96,59,26.50,0.86,59,26.50,1.29,36,16.10,2.71,69,30.90,4.38
2018,soybean,191,Wayne,216,2.17,5.37,123,56.90,1.06,41,19.00,2.03,9,4.20,2.34,43,19.90,5.46
2018,soybean,193,White,277,1.76,6.25,184,66.40,1.24,34,12.30,2.16,28,10.10,2.57,31,11.20,3.69
2018,soybean,195,Whiteside,123,1.18,4.05,47,38.20,0.56,45,36.60,1.41,26,21.10,1.71,5,4.10,2.14
2018,soybean,197,Will,193,0.60,2.07,58,30.10,0.31,102,52.80,0.55,30,15.50,1.16,3,1.60,2.39
2018,soybean,199,Williamson,80,4.90,11.19,30,37.50,1.93,13,16.30,5.60,19,23.80,7.56,18,22.50,6.54
2018,soybean,201,Winnebago,250,1.15,4.34,132,52.80,0.78,91,36.40,1.37,25,10.00,1.64,2,0.80,10.06
2018,soybean,203,Woodford,192,0.88,2.88,76,39.60,0.36,74,38.50,0.78,27,14.10,1.23,15,7.80,3.37
