"name","scenario","year","season","ssn.tot","rainyd","intens"
"IL-n_1","rcp26",2075,"Winter",124.233997217961,56,2.21846423603503
"IL-n_1","rcp26",2075,"Spring",274.899671030871,67,4.10298016463987
"IL-n_1","rcp26",2075,"Summer",399.734015094815,74,5.40181101479479
"IL-n_1","rcp26",2075,"Fall",397.210258297622,58,6.84845272926935
"IL-n_1","rcp26",2076,"Winter",79.1994301097002,33,2.39998273059698
"IL-n_1","rcp26",2076,"Spring",232.450281387544,81,2.86975656034005
"IL-n_1","rcp26",2076,"Summer",311.16649871855,74,4.20495268538581
"IL-n_1","rcp26",2076,"Fall",333.222562588751,79,4.2180071213766
"IL-n_1","rcp26",2077,"Winter",109.394829194411,63,1.73642586022874
"IL-n_1","rcp26",2077,"Spring",365.273186025967,79,4.62371121551856
"IL-n_1","rcp26",2077,"Summer",279.285986728035,68,4.10714686364757
"IL-n_1","rcp26",2077,"Fall",342.942094402271,62,5.53132410326244
"IL-n_1","rcp26",2078,"Winter",136.943638385041,52,2.63353150740463
"IL-n_1","rcp26",2078,"Spring",224.786044868873,65,3.45824684413651
"IL-n_1","rcp26",2078,"Summer",307.649219298502,75,4.1019895906467
"IL-n_1","rcp26",2078,"Fall",269.61067861272,66,4.08501028201091
"IL-n_1","rcp26",2079,"Winter",82.878354063956,56,1.47997060828493
"IL-n_1","rcp26",2079,"Spring",294.161499118432,66,4.45699241088534
"IL-n_1","rcp26",2079,"Summer",347.55267544114,70,4.96503822058772
"IL-n_1","rcp26",2079,"Fall",274.691237444756,58,4.73605581801304
"IL-n_1","rcp26",2080,"Winter",216.229544026893,60,3.60382573378156
"IL-n_1","rcp26",2080,"Spring",305.694612547522,61,5.01138709094299
"IL-n_1","rcp26",2080,"Summer",309.249303292716,68,4.54778387195171
"IL-n_1","rcp26",2080,"Fall",274.510871482664,61,4.50017822102727
"IL-n_1","rcp26",2081,"Winter",139.189917138079,58,2.39982615755309
"IL-n_1","rcp26",2081,"Spring",278.638063908555,69,4.03823281026891
"IL-n_1","rcp26",2081,"Summer",302.832441866864,69,4.38887596908498
"IL-n_1","rcp26",2081,"Fall",304.777786566643,67,4.54892218756183
"IL-n_1","rcp26",2082,"Winter",189.766151105985,60,3.16276918509975
"IL-n_1","rcp26",2082,"Spring",284.021659784019,65,4.36956399667721
"IL-n_1","rcp26",2082,"Summer",432.170158679248,77,5.61259946336686
"IL-n_1","rcp26",2082,"Fall",332.004945189692,59,5.62720246084224
"IL-n_1","rcp26",2083,"Winter",151.367020018632,63,2.40265111140685
"IL-n_1","rcp26",2083,"Spring",184.814747957163,73,2.53170887612553
"IL-n_1","rcp26",2083,"Summer",425.076431200025,74,5.74427609729763
"IL-n_1","rcp26",2083,"Fall",277.472049833741,58,4.78400085920243
"IL-n_1","rcp26",2084,"Winter",121.340959690511,55,2.2061992671002
"IL-n_1","rcp26",2084,"Spring",267.705760711571,73,3.66720220152837
"IL-n_1","rcp26",2084,"Summer",201.626275607734,71,2.83980669870048
"IL-n_1","rcp26",2084,"Fall",203.308947443496,52,3.90978745083647
"IL-n_1","rcp26",2085,"Winter",119.633916004794,54,2.21544288897766
"IL-n_1","rcp26",2085,"Spring",297.100589282811,76,3.90921828003698
"IL-n_1","rcp26",2085,"Summer",222.17348835303,75,2.9623131780404
"IL-n_1","rcp26",2085,"Fall",391.676716120681,62,6.31736638904324
"IL-n_1","rcp60",2006,"Winter",78.6811215666821,64,1.22939252447941
"IL-n_1","rcp60",2006,"Spring",262.61598511273,68,3.86199978106956
"IL-n_1","rcp60",2006,"Summer",286.978002419462,66,4.34815155181004
"IL-n_1","rcp60",2006,"Fall",235.808496352285,66,3.57285600533765
"IL-n_1","rcp60",2007,"Winter",116.816492325277,55,2.12393622409595
"IL-n_1","rcp60",2007,"Spring",162.854943244718,60,2.71424905407863
"IL-n_1","rcp60",2007,"Summer",259.655423089745,63,4.12151465221818
"IL-n_1","rcp60",2007,"Fall",266.88928619097,61,4.37523419985197
"IL-n_1","rcp60",2008,"Winter",146.957839372801,75,1.95943785830401
"IL-n_1","rcp60",2008,"Spring",236.580772606772,63,3.75525035883766
"IL-n_1","rcp60",2008,"Summer",329.552749575116,73,4.51442122705638
"IL-n_1","rcp60",2008,"Fall",296.145901549375,60,4.93576502582291
