"site","rcp","fit.1mo","dat","fit.12mo"
"a_8","rcp60",-0.735102979486644,May 2036,0.131598916829487
"a_8","rcp60",0.89592027783992,Jun 2036,0.243151741953753
"a_8","rcp60",0.0935788725183151,Jul 2036,0.308292542971627
"a_8","rcp60",0.124743141254465,Aug 2036,0.304758940385787
"a_8","rcp60",1.00715996685979,Sep 2036,0.391378418831462
"a_8","rcp60",1.73021057616919,Oct 2036,0.644406346350708
"a_8","rcp60",0.563610264577119,Nov 2036,0.689614556644562
"a_8","rcp60",1.22581619167665,Dec 2036,1.15271473952426
"a_8","rcp60",-0.892798328735217,Jan 2037,0.603662378126009
"a_8","rcp60",-1.1644588846562,Feb 2037,0.392233110417119
"a_8","rcp60",0.549622170935747,Mar 2037,0.436283095962966
"a_8","rcp60",-0.605661611086243,Apr 2037,0.173976448227489
"a_8","rcp60",0.183731495605282,May 2037,0.286060097940116
"a_8","rcp60",-0.460948498863935,Jun 2037,0.205986570941705
"a_8","rcp60",-0.772575741461579,Jul 2037,0.132112726120561
"a_8","rcp60",0.330226767219748,Aug 2037,0.143118905249205
"a_8","rcp60",-1.30664717136945,Sep 2037,0.00245458281340238
"a_8","rcp60",0.904532132348905,Oct 2037,-0.153951094565996
"a_8","rcp60",-1.26454627157563,Nov 2037,-0.452583863138598
"a_8","rcp60",0.879917060071647,Dec 2037,-0.767649353437781
"a_8","rcp60",0.998377104110997,Jan 2038,-0.121163845099511
"a_8","rcp60",0.348026359542571,Feb 2038,0.489534966173022
"a_8","rcp60",0.449011449372911,Mar 2038,0.489749795598885
"a_8","rcp60",0.898141911701401,Apr 2038,0.673569265650811
"a_8","rcp60",-0.0561274138888794,May 2038,0.637047872934264
"a_8","rcp60",0.795122885706967,Jun 2038,0.724799334017194
"a_8","rcp60",0.0115822200756595,Jul 2038,0.772261565916418
"a_8","rcp60",-0.487998937731757,Aug 2038,0.705775002082814
"a_8","rcp60",0.772558669590084,Sep 2038,0.786809167332255
"a_8","rcp60",1.02646957766892,Oct 2038,0.816438595925097
"a_8","rcp60",2.09078871599825,Nov 2038,1.38182761737012
"a_8","rcp60",-0.751183936413464,Dec 2038,1.08999343519417
"a_8","rcp60",-1.09534389511464,Jan 2039,0.551260472524618
"a_8","rcp60",-1.3604810190199,Feb 2039,-0.0216175381910594
"a_8","rcp60",-0.385437262722503,Mar 2039,-0.186100243435082
"a_8","rcp60",-0.23292207403186,Apr 2039,-0.365287402511973
"a_8","rcp60",-1.47018217384755,May 2039,-0.557155119150698
"a_8","rcp60",-0.0992455821688725,Jun 2039,-0.602403393736176
"a_8","rcp60",0.64960809700657,Jul 2039,-0.55509751326835
"a_8","rcp60",-1.09989880700773,Aug 2039,-0.567129371579901
"a_8","rcp60",1.00782999946988,Sep 2039,-0.536326348553529
"a_8","rcp60",0.779010588930541,Oct 2039,-0.598077388991978
"a_8","rcp60",-0.555849454185351,Nov 2039,-1.34089218957279
"a_8","rcp60",-0.0487380986716404,Dec 2039,-1.27799314272839
"a_8","rcp60",-1.17506042522959,Jan 2040,-1.6095816733475
"a_8","rcp60",-1.02999012346893,Feb 2040,-1.46120592341279
"a_8","rcp60",-0.450841962397819,Mar 2040,-1.48502146305227
"a_8","rcp60",0.678202330428733,Apr 2040,-1.14476680141028
"a_8","rcp60",-1.18281703260216,May 2040,-1.05843113507182
"a_8","rcp60",0.867797523174087,Jun 2040,-0.957998156767832
"a_8","rcp60",-0.243509187144533,Jul 2040,-1.03261575788859
"a_8","rcp60",-0.75946787959494,Aug 2040,-0.947919243428401
"a_8","rcp60",-0.39454125410457,Sep 2040,-1.00580704636935
"a_8","rcp60",1.21927636960965,Oct 2040,-0.974482538197616
"a_8","rcp60",0.49279304434061,Nov 2040,-0.757242513972477
"a_8","rcp60",-1.31689485270684,Dec 2040,-1.10349138961182
"a_8","rcp60",1.99942138153183,Jan 2041,0.453633063502527
"a_8","rcp60",1.74572019805069,Feb 2041,1.63249018174912
"a_8","rcp60",-0.275041820939628,Mar 2041,1.57428496167814
"a_8","rcp60",0.0265643062822205,Apr 2041,1.41234847663098
"a_8","rcp60",0.0426829361222714,May 2041,1.47650004846527
"a_8","rcp60",0.346232858197566,Jun 2041,1.43437564544804
"a_8","rcp60",-0.238345792624539,Jul 2041,1.43821239574126
"a_8","rcp60",1.6169318075554,Aug 2041,1.47907811268999
"a_8","rcp60",-0.0327543672215019,Sep 2041,1.46984317403374
"a_8","rcp60",-0.707997652886656,Oct 2041,1.39348030869014
"a_8","rcp60",-1.25310967288375,Nov 2041,1.20178266072298
"a_8","rcp60",-1.52115908471068,Dec 2041,1.21423310882617
"a_8","rcp60",-0.849054007888434,Jan 2042,-0.053503827782027
"a_8","rcp60",0.0531331000140538,Feb 2042,-1.17762539543029
"a_8","rcp60",-0.187849980249075,Mar 2042,-1.13320666773206
