"state","county","fips","year","crop_name","cdl_crop_id","eval.acres","ct.acres","cc.acres","nt.acres","rt.acres","NS","perc_ct","perc_cc","perc_nt","perc_rt","perc_eval"
"IL","Rock Island",17161,2019,"Soybeans",5,38624.3338618762,2111.70581336421,1023.23898128911,14636.4577587417,21814.6207057295,"N",5.46729380735948,2.64920810012749,37.8943953081052,56.47895646237,NA
"IL","Rock Island",17161,2020,"Corn",1,61022.1026364717,6014.27808256432,3405.33898344195,30831.268597792,24057.6386417556,"N",9.85590109602304,5.58050089445238,50.5247562206497,39.4244668773128,93.16
"IL","Rock Island",17161,2020,"Soybeans",5,39401.8087580865,879.69560847674,1819.11993317713,14342.9280004409,23553.2124841471,"N",2.23262747626071,4.6168437199061,36.4016994460877,59.7769829013579,82.43
"IL","Rock Island",17161,2021,"Corn",1,59153.1175548486,6510.40255847017,2850.5060040256,30736.4543162539,21597.6977825508,"N",11.0060176497604,4.81886014102726,51.9608358557841,36.5115122842422,88.82
"IL","Rock Island",17161,2021,"Soybeans",5,43387.638958209,2253.84314563206,1149.29360526477,27428.7903763909,13010.6295739718,"N",5.1946664989145,2.64889639736278,63.2179833588325,29.9869499386764,86.43
"IL","Saline",17165,2015,"Corn",1,44823.8860205341,6540.85581448453,1911.84757160191,25884.3155801565,12089.5039569289,"S",14.5923443841708,4.26524280096126,57.7467013196909,26.9711197092341,101.18
"IL","Saline",17165,2015,"Soybeans",5,50617.4796790442,2662.82779984615,1952.41885153327,25262.4695906673,22370.3495545867,"S",5.2606882379973,3.85720281593075,49.9085883984185,44.1949099331552,NA
"IL","Saline",17165,2016,"Corn",1,40598.7583367681,4936.09341694982,8563.52394103206,25307.5298853385,10041.3628719429,"S",12.158237392397,21.0930685859832,62.3357238549309,24.7331772776139,96.89
"IL","Saline",17165,2016,"Soybeans",5,55546.7202920633,3976.184303621,5541.11169733018,33881.0882050289,17138.0109602061,"S",7.15827016017205,9.97558752019048,60.9956591980282,30.853326479214,98.84
"IL","Saline",17165,2017,"Corn",1,41288.3353582775,4456.39884233061,4174.00739940538,26688.6927562952,9942.87784612441,"S",10.7933604095695,10.1094107165756,64.6397887556022,24.0815662822092,97.84
"IL","Saline",17165,2017,"Soybeans",5,56523.1355502466,2086.88236025503,4589.22020847812,34748.9174518537,17307.9275874111,"S",3.69208526727942,8.11918900783291,61.4773351010639,30.62096152119,99.34
"IL","Saline",17165,2018,"Corn",1,34946.2607714548,9823.3662260181,1057.76243886637,16957.2165131162,7786.83519484891,"S",28.1099208017189,3.02682580486661,48.5236936335329,22.2823129655389,92.94
"IL","Saline",17165,2018,"Soybeans",5,62603.4145690854,11294.687639632,1944.44802070242,23000.8137034427,27910.05436182,"S",18.0416479154949,3.10597757979582,36.7405098615833,44.5823195969928,96.16
"IL","Saline",17165,2019,"Corn",1,44842.3640184558,4441.1873503641,6035.15635787477,16469.899517388,23431.0224159168,"S",9.90399914807399,13.4586043576803,36.7284372220195,52.2519785225268,NA
"IL","Saline",17165,2019,"Soybeans",5,43427.084391593,2291.19041390056,5565.40582551109,18123.6093150503,21336.9856915431,"S",5.27594805407684,12.8155180194148,41.7334241268079,49.1328994116715,NA
"IL","Saline",17165,2020,"Corn",1,43720.5351568666,11703.6154572663,5703.34822642135,17040.3748271891,14608.9918481302,"S",26.7691495890305,13.0450100987055,38.9756775987514,33.4144854259309,95.67
"IL","Saline",17165,2020,"Soybeans",5,54284.5259932763,9142.06163292359,3545.36962664969,11301.6590525407,33565.5771315495,"S",16.8410084930205,6.53108701195774,20.8193013492289,61.8326797874351,92.64
"IL","Saline",17165,2021,"Corn",1,44427.6425204243,6976.8498803941,9418.23949333527,23303.2787839165,14104.1575144672,"S",15.7038489656225,21.1990530197624,52.452206468537,31.7463559043972,91.41
"IL","Saline",17165,2021,"Soybeans",5,52221.7476541984,5616.8777674805,8220.61576430125,20963.2189796428,25211.0186151084,"S",10.755821127769,15.741747707749,40.1426990120225,48.2768573393034,91.94
"IL","Sangamon",17167,2015,"Corn",1,215020.214569539,32362.351760226,7179.16651101462,82236.7024164411,100161.357652258,"N",15.0508415336735,3.33883329313339,38.2460330909237,46.582298251714,94.31
"IL","Sangamon",17167,2015,"Soybeans",5,142081.262924669,21894.791022809,3366.5375379131,50395.6438378842,69571.263206246,"N",15.4100481457696,2.36944511092784,35.4695916973963,48.9658254537985,93.97
"IL","Sangamon",17167,2016,"Corn",1,218525.863432773,48349.5000640497,8361.9419503573,64234.5183297947,105688.392026848,"N",22.1252987195833,3.82652278270474,29.3944695244532,48.3642486827935,95.22
"IL","Sangamon",17167,2016,"Soybeans",5,139003.852978877,56105.7904106693,5936.44283354812,11481.3840525334,71245.1323593559,"N",40.3627591669672,4.27070380160629,8.2597595724761,51.2540701804736,97.21
"IL","Sangamon",17167,2017,"Corn",1,197090.196910511,101108.40574318,6365.51961252493,43706.7454294498,51962.896626326,"N",51.3005757405014,3.22974948135812,22.1760118537478,26.3650335941974,95.44
"IL","Sangamon",17167,2017,"Soybeans",5,161246.447353455,52934.5294228733,8417.01343156782,37851.7081568014,70257.1806753049,"N",32.8283384171807,5.21996829680072,23.4744447261091,43.5713045641867,96.15
"IL","Sangamon",17167,2018,"Corn",1,177750.435584605,104478.441427212,14071.7809157738,24795.6169525384,48203.0964783681,"N",58.7781633747293,7.91659433603805,13.9496799943066,27.1184125765051,94
"IL","Sangamon",17167,2018,"Soybeans",5,180796.670788484,63086.3819362767,8313.13377046227,18687.2111899935,98587.3310635698,"N",34.8935528852089,4.5980568857863,10.336037222641,54.5293951672972,96.63
"IL","Sangamon",17167,2019,"Corn",1,202532.890339189,55273.1169587055,11299.162939865,66760.9478512991,80108.3364388772,"N",27.2909337669243,5.57892741319294,32.9630154092465,39.5532480204657,91.64
"IL","Sangamon",17167,2019,"Soybeans",5,155413.902585604,23486.7519885276,10182.7285966036,55236.5030189483,76396.6843271187,"N",15.1123880153455,6.55200624087978,35.5415455760293,49.1569177892811,94.53
"IL","Sangamon",17167,2020,"Corn",1,205335.011584695,75189.6987240147,8460.98714712047,38584.5334752753,91302.5291358107,"N",36.6180604777189,4.12057694487749,18.7910153156517,44.4651540091354,93.33
"IL","Sangamon",17167,2020,"Soybeans",5,152835.710671502,44148.0021957721,3606.28041046962,8572.64550957455,99874.4417815076,"N",28.885920706491,2.35957970465475,5.60905921260784,65.3475822781844,94.46
"IL","Sangamon",17167,2021,"Corn",1,184128.885209588,117001.199870269,8308.85323914346,23582.4236140866,43418.2999260918,"N",63.5430990292969,4.5125202543239,12.8075633474039,23.5803849443123,96.4
"IL","Sangamon",17167,2021,"Soybeans",5,173726.61849026,79162.9463136371,6664.58966545203,5866.71382923026,88338.0380202001,"N",45.5675399668678,3.83625130297789,3.37698038459154,50.8488789961412,95.61
