"county","crop_name","variable","value"
"Moultrie","Corn","perc_cc",5.13158383930347
"Ogle","Corn","perc_cc",1.8014876588802
"Peoria","Corn","perc_cc",4.10233243932771
"Perry","Corn","perc_cc",8.96609528906414
"Piatt","Corn","perc_cc",2.62906007219702
"Pike","Corn","perc_cc",8.79516114722679
"Pope","Corn","perc_cc",3.36318143424558
"Pulaski","Corn","perc_cc",8.44028587777732
"Putnam","Corn","perc_cc",2.02920593467789
"Randolph","Corn","perc_cc",19.245919117659
"Richland","Corn","perc_cc",12.7937880031292
"Rock Island","Corn","perc_cc",7.34445211893632
"Saline","Corn","perc_cc",3.02682580486661
"Sangamon","Corn","perc_cc",7.91659433603805
"Schuyler","Corn","perc_cc",3.57788091385481
"Scott","Corn","perc_cc",11.2643730637083
"Shelby","Corn","perc_cc",5.98357672362509
"St. Clair","Corn","perc_cc",26.5565087118886
"Stark","Corn","perc_cc",0.27799823006845
"Stephenson","Corn","perc_cc",7.46196520592731
"Tazewell","Corn","perc_cc",7.37434510246289
"Union","Corn","perc_cc",5.01329772580843
"Vermilion","Corn","perc_cc",1.65811683787222
"Wabash","Corn","perc_cc",5.05329650412457
"Warren","Corn","perc_cc",1.47831739774692
"Washington","Corn","perc_cc",6.84201241685368
"Wayne","Corn","perc_cc",15.7086497226583
"White","Corn","perc_cc",17.7544475825873
"Whiteside","Corn","perc_cc",3.01020680177001
"Will","Corn","perc_cc",2.35656114328693
"Williamson","Corn","perc_cc",8.64458378285073
"Winnebago","Corn","perc_cc",4.66170575787296
"Woodford","Corn","perc_cc",2.03508835994607
"Adams","Soybeans","perc_cc",4.64934792079247
"Alexander","Soybeans","perc_cc",4.38278235643012
"Bond","Soybeans","perc_cc",9.86637501919959
"Boone","Soybeans","perc_cc",2.2825104523685
"Brown","Soybeans","perc_cc",7.33329061478059
"Bureau","Soybeans","perc_cc",1.19322045004121
"Calhoun","Soybeans","perc_cc",14.0205542027342
"Carroll","Soybeans","perc_cc",3.38923129920587
"Cass","Soybeans","perc_cc",6.34356352423025
"Champaign","Soybeans","perc_cc",2.17682806747842
"Christian","Soybeans","perc_cc",1.97252517605284
"Clark","Soybeans","perc_cc",3.22273413063919
"Clay","Soybeans","perc_cc",9.28400438778608
"Clinton","Soybeans","perc_cc",14.3091040558244
"Coles","Soybeans","perc_cc",2.95670515804923
"Cook","Soybeans","perc_cc",3.26039757992132
"Crawford","Soybeans","perc_cc",5.59997803343474
"Cumberland","Soybeans","perc_cc",6.20655837744058
"DeKalb","Soybeans","perc_cc",0.763217353327764
"DeWitt","Soybeans","perc_cc",0.910888997169193
"Douglas","Soybeans","perc_cc",3.57564167449293
"Edgar","Soybeans","perc_cc",3.80007136162488
"Edwards","Soybeans","perc_cc",5.8307129321016
"Effingham","Soybeans","perc_cc",5.58973198370887
"Fayette","Soybeans","perc_cc",7.92987168362464
"Ford","Soybeans","perc_cc",0.7876265390562
