Year,Crop,FIPS,State,County,Total transects,Avg. soil loss (ton/ac),Avg. soil loss if all fields conventionally tilled (ton/ac),No till no.  transects,No-till % acres,No-till avg. soil loss (ton/ac),Mulch till no.  transects,Mulch till % acres,Mulch till avg. soil loss (ton/ac),Reduced till no.  transects,Reduced till % acres,Reduced till avg. soil loss (ton/ac),Conventional till no.  transects,Conventional till % acres,Conventional till avg. soil loss (ton/ac)
2015,soybean,21,illinois,christian,213,1.7,3,18,8,0.3,9,4,0.4,179,84,1.8,7,3,2.7
2018,corn,21,illinois,christian,257,4.22,4.27,0,0,NA,1,0.4,0.7,3,0,4.79,253,98.4,4.23
2018,soybean,21,illinois,christian,218,1.99,3.42,6,2.8,0.18,22,10.1,0.92,190,87.2,2.18,0,0,NA
2017,corn,21,illinois,christian,252,3.86,4.07,2,0.8,0.19,1,0.4,0.52,23,9.1,3.22,226,89.7,3.98
2017,soybean,21,illinois,christian,213,1.83,3.13,15,7,0.75,18,8.5,0.92,164,77,1.87,16,7.5,3.42
2015,corn,23,illinois,clark,222,3.7,3.8,0,0,0,2,1,0.5,16,7,1.8,204,92,3.8
2015,soybean,23,illinois,clark,241,1.2,2.2,25,10,0.3,48,20,0.8,128,53,1.1,40,17,2.2
2018,corn,23,illinois,clark,220,3.25,3.35,2,0.9,1.68,3,1.4,0.57,8,3.6,1.57,207,94.1,3.36
2018,soybean,23,illinois,clark,241,2.12,3.51,21,8.7,0.69,60,24.9,1.32,110,45.6,1.99,50,20.7,3.98
2017,corn,23,illinois,clark,217,3.74,3.74,0,0,NA,0,0,NA,0,0,NA,217,100,3.74
2017,soybean,23,illinois,clark,245,1.52,2.25,19,7.8,0.26,29,11.8,1.16,99,40.4,1.09,98,40,2.3
2015,corn,25,illinois,clay,266,5,6.9,15,5.6,1.5,45,16.9,2.5,32,12,6.2,174,65.4,5.7
2015,soybean,25,illinois,clay,334,1.5,4.2,114,34.1,0.7,125,37.4,1.4,42,12.6,1.7,53,15.9,3.4
2018,corn,25,illinois,clay,221,5.08,6.34,11,5,0.93,32,14.5,2.08,22,10,4.42,156,70.6,6.08
2018,soybean,25,illinois,clay,343,2.2,5,158,46.1,0.8,101,29.4,2.06,15,4.4,2.38,69,20.1,5.58
2017,corn,25,illinois,clay,237,6.16,7.44,11,4.6,0.96,25,10.5,3.15,13,5.5,5.63,188,79.3,6.91
2017,soybean,25,illinois,clay,366,2.58,4.5,101,27.6,0.92,86,23.5,1.31,38,10.4,2.23,141,38.5,4.64
