"site_name","system","management","climate_scenario","year","NO3.yr"
"h_1","hops-a","ct-nc","rcp60",2018,14.420151
"h_1","hops-a","ct-nc","rcp60",2019,15.470044
"h_1","hops-a","ct-nc","rcp60",2020,20.246531
"h_1","hops-a","ct-nc","rcp60",2021,18.75473
"h_1","hops-a","ct-nc","rcp60",2022,16.439977
"h_1","hops-a","ct-nc","rcp60",2023,15.105261
"h_1","hops-a","ct-nc","rcp60",2024,14.487697
"h_1","hops-a","ct-nc","rcp60",2025,10.974503
"h_1","hops-a","ct-nc","rcp60",2026,15.157239
"h_1","hops-a","ct-nc","rcp60",2027,13.182877
"h_1","hops-a","ct-nc","rcp60",2028,14.327766
"h_1","hops-a","ct-nc","rcp60",2029,3.76578
"h_1","hops-a","ct-nc","rcp60",2030,20.377399
"h_1","hops-a","ct-nc","rcp60",2031,11.305639
"h_1","hops-a","ct-nc","rcp60",2032,9.151598
"h_1","hops-a","ct-nc","rcp60",2033,11.006236
"h_1","hops-a","ct-nc","rcp60",2034,13.262172
"h_1","hops-a","ct-nc","rcp60",2035,10.564143
"h_1","hops-a","ct-nc","rcp60",2036,9.996754
"h_1","hops-a","ct-nc","rcp60",2037,10.739699
"h_1","hops-a","ct-nc","rcp60",2038,11.220814
"h_1","hops-a","ct-nc","rcp60",2039,10.670951
"h_1","hops-a","ct-nc","rcp60",2040,9.601666
"h_1","hops-a","ct-nc","rcp60",2041,3.192574
"h_1","hops-a","ct-nc","rcp60",2042,17.517092
"h_1","hops-a","ct-nc","rcp60",2043,9.798702
"h_1","hops-a","ct-nc","rcp60",2044,9.322224
"h_1","hops-a","ct-nc","rcp60",2045,5.347973
"h_1","hops-a","ct-nc","rcp60",2046,15.188512
"h_1","hops-a","ct-nc","rcp60",2047,8.726312
"h_1","hops-a","ct-nc","rcp60",2048,9.323226
"h_1","hops-a","ct-nc","rcp60",2049,4.034927
"h_1","hops-a","ct-nc","rcp60",2050,16.933155
"h_1","hops-a","ct-nc","rcp60",2051,8.286635
"h_1","hops-a","ct-nc","rcp60",2052,12.659905
"h_1","hops-a","ct-nc","rcp60",2053,9.298543
"h_1","hops-a","ct-nc","rcp60",2054,9.865357
"h_1","hops-a","ct-nc","rcp60",2055,10.663288
"h_1","hops-a","ct-nc","rcp60",2056,11.319244
"h_1","hops-a","ct-nc","rcp60",2057,9.406954
"h_1","hops-a","ct-nc","rcp60",2058,5.487395
"h_1","hops-a","ct-nc","rcp60",2059,14.813707
"h_1","hops-a","ct-nc","rcp60",2060,10.561795
"h_1","hops-a","ct-nc","rcp60",2061,7.433232
"h_1","hops-a","ct-nc","rcp60",2062,11.958147
"h_1","hops-a","ct-nc","rcp60",2063,9.751142
"h_1","hops-a","ct-nc","rcp60",2064,10.590524
"h_1","hops-a","ct-nc","rcp60",2065,10.557081
"h_1","hops-a","ct-nc","rcp60",2066,9.328532
"h_1","hops-a","ct-nc","rcp60",2067,11.005965
"h_1","hops-a","ct-nc","rcp60",2068,4.563596
"h_1","hops-a","ct-nc","rcp60",2069,12.318325
"h_1","hops-a","ct-nc","rcp60",2070,11.045598
"h_1","hops-a","ct-nc","rcp60",2071,7.241431
"h_1","hops-a","ct-nc","rcp60",2072,9.775271
"h_1","hops-a","nt-bc","rcp26",2013,2.027294
"h_1","hops-a","nt-bc","rcp26",2014,0.823019
"h_1","hops-a","nt-bc","rcp26",2015,1.288553
"h_1","hops-a","nt-bc","rcp26",2016,0.405925
"h_1","hops-a","nt-bc","rcp26",2017,0.511363
"h_1","hops-a","nt-bc","rcp26",2018,0.529741
"h_1","hops-a","nt-bc","rcp26",2019,1.043835
"h_1","hops-a","nt-bc","rcp26",2020,1.521533
"h_1","hops-a","nt-bc","rcp26",2021,0.296591
"h_1","hops-a","nt-bc","rcp26",2022,1.345794
"h_1","hops-a","nt-bc","rcp26",2023,0.858833
"h_1","hops-a","nt-bc","rcp26",2024,1.010816
"h_1","hops-a","nt-bc","rcp26",2025,1.007857
"h_1","hops-a","nt-bc","rcp26",2026,2.115286
"h_1","hops-a","nt-bc","rcp26",2027,2.530057
"h_1","hops-a","nt-bc","rcp26",2028,0.910019
"h_1","hops-a","nt-bc","rcp26",2029,2.139197
"h_1","hops-a","nt-bc","rcp26",2030,0.552831
"h_1","hops-a","nt-bc","rcp26",2031,0.902199
"h_1","hops-a","nt-bc","rcp26",2032,3.257034
"h_1","hops-a","nt-bc","rcp26",2033,1.304649
"h_1","hops-a","nt-bc","rcp26",2034,0.372554
"h_1","hops-a","nt-bc","rcp26",2035,1.198318
