"site_name","crop","management","climate_scenario","year","NO3.yr"
"v_1","grape-a","ct-lc","rcp26",2039,237.558997
"v_1","grape-a","ct-lc","rcp26",2040,137.86602
"v_1","grape-a","ct-lc","rcp26",2041,146.519738
"v_1","grape-a","ct-lc","rcp26",2042,74.997491
"v_1","grape-a","ct-lc","rcp26",2043,78.7859
"v_1","grape-a","ct-lc","rcp26",2044,1.947538
"v_1","grape-a","ct-lc","rcp26",2045,201.570689
"v_1","grape-a","ct-lc","rcp26",2046,86.568329
"v_1","grape-a","ct-lc","rcp26",2047,138.824187
"v_1","grape-a","ct-lc","rcp26",2048,267.137011
"v_1","grape-a","ct-lc","rcp26",2049,98.055497
"v_1","grape-a","ct-lc","rcp26",2050,66.618361
"v_1","grape-a","ct-lc","rcp26",2051,61.195765
"v_1","grape-a","ct-lc","rcp26",2052,100.76622
"v_1","grape-a","ct-lc","rcp26",2053,399.149263
"v_1","grape-a","ct-lc","rcp26",2054,91.69169
"v_1","grape-a","ct-lc","rcp26",2055,142.250784
"v_1","grape-a","ct-lc","rcp26",2056,34.14123
"v_1","grape-a","ct-lc","rcp26",2057,219.803132
"v_1","grape-a","ct-lc","rcp26",2058,77.426537
"v_1","grape-a","ct-lc","rcp26",2059,55.013634
"v_1","grape-a","ct-lc","rcp26",2060,120.337344
"v_1","grape-a","ct-lc","rcp26",2061,43.718078
"v_1","grape-a","ct-lc","rcp26",2062,309.723947
"v_1","grape-a","ct-lc","rcp26",2063,56.550502
"v_1","grape-a","ct-lc","rcp26",2064,190.379938
"v_1","grape-a","ct-lc","rcp26",2065,198.441055
"v_1","grape-a","ct-lc","rcp26",2066,208.215629
"v_1","grape-a","ct-lc","rcp26",2067,104.256673
"v_1","grape-a","ct-lc","rcp26",2068,141.840679
"v_1","grape-a","ct-lc","rcp26",2069,124.894549
"v_1","grape-a","ct-lc","rcp26",2070,177.340753
"v_1","grape-a","ct-lc","rcp26",2071,93.611305
"v_1","grape-a","ct-lc","rcp26",2072,199.404081
"v_1","grape-a","ct-lc","rcp26",2073,202.504881
"v_1","grape-a","ct-lc","rcp60",2013,3.893168
"v_1","grape-a","ct-lc","rcp60",2014,2.661371
"v_1","grape-a","ct-lc","rcp60",2015,9.160687
"v_1","grape-a","ct-lc","rcp60",2016,23.182086
"v_1","grape-a","ct-lc","rcp60",2017,22.602485
"v_1","grape-a","ct-lc","rcp60",2018,34.34453
"v_1","grape-a","ct-lc","rcp60",2019,74.631185
"v_1","grape-a","ct-lc","rcp60",2020,20.857305
"v_1","grape-a","ct-lc","rcp60",2021,42.862738
"v_1","grape-a","ct-lc","rcp60",2022,151.655657
"v_1","grape-a","ct-lc","rcp60",2023,46.274473
"v_1","grape-a","ct-lc","rcp60",2024,84.734175
"v_1","grape-a","ct-lc","rcp60",2025,195.54807
"v_1","grape-a","ct-lc","rcp60",2026,60.344841
"v_1","grape-a","ct-lc","rcp60",2027,38.041594
"v_1","grape-a","ct-lc","rcp60",2028,149.167908
"v_1","grape-a","ct-lc","rcp60",2029,96.435871
"v_1","grape-a","ct-lc","rcp60",2030,65.561855
"v_1","grape-a","ct-lc","rcp60",2031,147.609788
"v_1","grape-a","ct-lc","rcp60",2032,141.643767
"v_1","grape-a","ct-lc","rcp60",2033,82.150247
"v_1","grape-a","ct-lc","rcp60",2034,39.501111
"v_1","grape-a","ct-lc","rcp60",2035,181.674736
"v_1","grape-a","ct-lc","rcp60",2036,157.030325
"v_1","grape-a","ct-lc","rcp60",2037,70.141124
"v_1","grape-a","ct-lc","rcp60",2038,122.653641
"v_1","grape-a","ct-lc","rcp60",2039,29.053788
"v_1","grape-a","ct-lc","rcp60",2040,21.01535
"v_1","grape-a","ct-lc","rcp60",2041,274.456784
"v_1","grape-a","ct-lc","rcp60",2042,40.476028
"v_1","grape-a","ct-lc","rcp60",2043,131.267262
"v_1","grape-a","ct-lc","rcp60",2044,214.670338
"v_1","grape-a","ct-lc","rcp60",2045,114.180698
"v_1","grape-a","ct-lc","rcp60",2046,138.888458
"v_1","grape-a","ct-lc","rcp60",2047,99.509906
"v_1","grape-a","ct-lc","rcp60",2048,41.655401
"v_1","grape-a","ct-lc","rcp60",2049,282.788389
"v_1","grape-a","ct-lc","rcp60",2050,99.89996
"v_1","grape-a","ct-lc","rcp60",2051,163.958092
"v_1","grape-a","ct-lc","rcp60",2052,40.637288
"v_1","grape-a","ct-lc","rcp60",2053,171.638231
"v_1","grape-a","ct-lc","rcp60",2054,72.379654
"v_1","grape-a","ct-lc","rcp60",2055,116.28164
"v_1","grape-a","ct-lc","rcp60",2056,204.677587
"v_1","grape-a","ct-lc","rcp60",2057,42.761222
"v_1","grape-a","ct-lc","rcp60",2058,158.710237
"v_1","grape-a","ct-lc","rcp60",2059,180.491452
"v_1","grape-a","ct-lc","rcp60",2060,42.999496
"v_1","grape-a","ct-lc","rcp60",2061,41.44625
"v_1","grape-a","ct-lc","rcp60",2062,294.515346
"v_1","grape-a","ct-lc","rcp60",2063,18.866872
"v_1","grape-a","ct-lc","rcp60",2064,257.914313
"v_1","grape-a","ct-lc","rcp60",2065,95.807663
"v_1","grape-a","ct-lc","rcp60",2066,55.692205
"v_1","grape-a","ct-lc","rcp60",2067,185.22834
"v_1","grape-a","ct-lc","rcp60",2068,348.138872
"v_1","grape-a","ct-lc","rcp60",2069,121.489949
"v_1","grape-a","ct-lc","rcp60",2070,225.66511
"v_1","grape-a","ct-lc","rcp60",2071,187.385795
"v_1","grape-a","ct-lc","rcp60",2072,103.724429
"v_1","grape-a","ct-lc","rcp60",2073,211.34441
"v_1","grape-a","ct-nc","rcp26",2013,2.654891
"v_1","grape-a","ct-nc","rcp26",2014,8.433919
"v_1","grape-a","ct-nc","rcp26",2015,26.936983
"v_1","grape-a","ct-nc","rcp26",2016,55.220357
"v_1","grape-a","ct-nc","rcp26",2017,57.074029
"v_1","grape-a","ct-nc","rcp26",2018,65.213982
"v_1","grape-a","ct-nc","rcp26",2019,12.814384
"v_1","grape-a","ct-nc","rcp26",2020,59.384908
"v_1","grape-a","ct-nc","rcp26",2021,72.25549
"v_1","grape-a","ct-nc","rcp26",2022,48.402189
"v_1","grape-a","ct-nc","rcp26",2023,65.898028
"v_1","grape-a","ct-nc","rcp26",2024,73.869847
"v_1","grape-a","ct-nc","rcp26",2025,27.275197
"v_1","grape-a","ct-nc","rcp26",2026,49.690025
"v_1","grape-a","ct-nc","rcp26",2027,45.016599
"v_1","grape-a","ct-nc","rcp26",2028,76.624885
"v_1","grape-a","ct-nc","rcp26",2029,23.32157
"v_1","grape-a","ct-nc","rcp26",2030,66.714423
"v_1","grape-a","ct-nc","rcp26",2031,34.428462
"v_1","grape-a","ct-nc","rcp26",2032,93.190696
"v_1","grape-a","ct-nc","rcp26",2033,43.438456
"v_1","grape-a","ct-nc","rcp26",2034,38.911876
"v_1","grape-a","ct-nc","rcp26",2035,51.071811
"v_1","grape-a","ct-nc","rcp26",2036,67.499602
"v_1","grape-a","ct-nc","rcp26",2037,63.713379
"v_1","grape-a","ct-nc","rcp26",2038,66.210084
"v_1","grape-a","ct-nc","rcp26",2039,63.305566
"v_1","grape-a","ct-nc","rcp26",2040,55.098026
"v_1","grape-a","ct-nc","rcp26",2041,66.230836
"v_1","grape-a","ct-nc","rcp26",2042,27.913408
"v_1","grape-a","ct-nc","rcp26",2043,63.41877
"v_1","grape-a","ct-nc","rcp26",2044,7.314766
"v_1","grape-a","ct-nc","rcp26",2045,75.832582
"v_1","grape-a","ct-nc","rcp26",2046,37.572413
"v_1","grape-a","ct-nc","rcp26",2047,57.812381
"v_1","grape-a","ct-nc","rcp26",2048,70.011082
"v_1","grape-a","ct-nc","rcp26",2049,42.997979
"v_1","grape-a","ct-nc","rcp26",2050,52.390832
"v_1","grape-a","ct-nc","rcp26",2051,59.832293
"v_1","grape-a","ct-nc","rcp26",2052,69.103134
"v_1","grape-a","ct-nc","rcp26",2053,90.827202
"v_1","grape-a","ct-nc","rcp26",2054,26.692689
"v_1","grape-a","ct-nc","rcp26",2055,45.049974
"v_1","grape-a","ct-nc","rcp26",2056,28.29738
"v_1","grape-a","ct-nc","rcp26",2057,106.78234
"v_1","grape-a","ct-nc","rcp26",2058,34.048812
"v_1","grape-a","ct-nc","rcp26",2059,36.947629
"v_1","grape-a","ct-nc","rcp26",2060,54.605473
