"site_name","crop_system_name","management_name","climate_scenario","Year","trans.yr","evap.yr","leach.yr","run.yr","sed.yr"
"v_8","grape-c","cn","rcp26",2039,66.684024,223.383977,1440.316565,1346.761332,2357.45800041122
"v_8","grape-c","cn","rcp26",2040,66.4155,203.393862,932.043897,766.326584,1616.17916699343
"v_8","grape-c","cn","rcp26",2041,68.058816,226.37167,812.279481,516.726195,888.412587975135
"v_8","grape-c","cn","rcp26",2042,67.631486,239.299568,617.513287,388.803532,753.723127136495
"v_8","grape-c","cn","rcp26",2043,67.523054,188.310809,666.869877,308.219899,566.330296324932
"v_8","grape-c","cn","rcp26",2044,60.423207,200.057283,47.309078,17.557191,64.233847568665
"v_8","grape-c","cn","rcp26",2045,66.968474,167.421474,540.320971,343.371957,473.803231323736
"v_8","grape-c","cn","rcp26",2046,66.554592,223.751705,282.909708,98.046695,195.887904958933
"v_8","grape-c","cn","rcp26",2047,67.707091,153.771714,266.683672,249.391951,438.860686938456
"v_8","grape-c","cn","rcp26",2048,66.348118,226.951702,856.910887,730.480076,1154.82727761055
"v_8","grape-c","cn","rcp26",2049,64.222772,176.062566,358.890988,201.450592,298.345952720024
"v_8","grape-c","cn","rcp26",2050,67.497596,191.84542,370.43063,133.82801,223.084404330697
"v_8","grape-c","cn","rcp26",2051,67.400677,194.677778,385.789979,175.355583,311.556773119401
"v_8","grape-c","cn","rcp26",2052,67.625386,225.308486,518.201934,273.880911,573.073693149444
"v_8","grape-c","cn","rcp26",2053,68.585214,204.602005,1121.777623,713.249065,1246.6129403458
"v_8","grape-c","cn","rcp26",2054,69.043008,156.894452,932.645543,725.813552,1458.13433182136
"v_8","grape-c","cn","rcp26",2055,65.792088,138.709352,697.395864,418.129442,688.181913555581
"v_8","grape-c","cn","rcp26",2056,68.648468,192.232449,248.59168,127.129474,264.976101121262
"v_8","grape-c","cn","rcp26",2057,68.584934,186.201855,743.216705,413.782586,614.067814317462
"v_8","grape-c","cn","rcp26",2058,67.422041,215.355484,385.695154,166.578921,347.215215208873
"v_8","grape-c","cn","rcp26",2059,67.540259,168.085381,272.054175,182.339302,264.934334827488
"v_8","grape-c","cn","rcp26",2060,66.176176,203.554748,402.632899,144.96818,272.286022139317
"v_8","grape-c","cn","rcp26",2061,66.982509,244.233099,453.606281,194.876841,484.336034994555
"v_8","grape-c","cn","rcp26",2062,66.097027,146.531837,731.486657,592.5404,1017.79122993431
"v_8","grape-c","cn","rcp26",2063,68.854981,227.993508,329.272666,144.739496,244.41238725212
"v_8","grape-c","cn","rcp26",2064,67.115177,200.470794,686.331428,343.661541,468.950931749423
"v_8","grape-c","cn","rcp26",2065,68.510652,249.239699,711.775006,415.551477,672.644990782952
"v_8","grape-c","cn","rcp26",2066,67.702203,193.32272,825.918398,522.748902,1107.75894878028
"v_8","grape-c","cn","rcp26",2067,67.120582,224.048596,450.715227,176.458705,365.907744723598
"v_8","grape-c","cn","rcp26",2068,67.597412,178.901371,509.282734,391.262578,551.397810670006
"v_8","grape-c","cn","rcp26",2069,67.440194,180.842263,431.458357,154.994276,305.105956711568
"v_8","grape-c","cn","rcp26",2070,67.937905,179.294778,348.749338,217.216147,331.072820024554
"v_8","grape-c","cn","rcp26",2071,67.345198,206.988379,367.601425,202.629504,322.817994744063
"v_8","grape-c","cn","rcp26",2072,65.276672,181.893101,607.128033,327.359652,548.592384030981
"v_8","grape-c","cn","rcp60",2014,53.242501,182.362848,177.745948,499.328784,677.552416054997
"v_8","grape-c","cn","rcp60",2015,64.604804,200.589832,508.048263,332.376396,550.786870948953
"v_8","grape-c","cn","rcp60",2016,64.469757,154.485497,1159.042917,656.993545,1122.95269080558
"v_8","grape-c","cn","rcp60",2017,61.523947,202.699896,914.232328,545.995685,876.607544482508
"v_8","grape-c","cn","rcp60",2018,65.37873,196.537505,858.050876,500.501333,907.907628724838
"v_8","grape-c","cn","rcp60",2019,64.160456,152.761099,596.572093,458.950958,843.475140188478
"v_8","grape-c","cn","rcp60",2020,63.74684,221.453881,170.848714,81.469466,132.213125242837
