"site_name","year","till","cc","decade","nfert","trans.yrtot.in","evap.yrtot.in","leach.yrtot.in","run.yrtot.in","sed.yrtot.lbac","et.yrtot.in","grtot.in"
"a_15",2035,"NT","NC","2030s","Reduced N",1.51711416141732,9.34920977755906,30.6080908090551,1.83865207480315,2345.27843777055,10.8663239389764,43.3130668228346
"a_15",2036,"NT","NC","2030s","Conventional N",1.67479786417323,9.99967392125984,44.1720450807087,3.90879291732284,4038.85760045808,11.6744717854331,59.7553097834646
"a_15",2036,"NT","NC","2030s","Reduced N",1.65186313582677,10.0152374015748,44.1846410413386,3.93876681496063,4135.79757359087,11.6671005374016,59.7905083937008
"a_15",2037,"NT","NC","2030s","Conventional N",1.64142092125984,9.92806512795276,24.5036441909449,1.12174821456693,2304.65633259389,11.5694860492126,37.1948784547244
"a_15",2037,"NT","NC","2030s","Reduced N",1.62326095866142,9.94193701574803,24.5146035334646,1.13932732283465,2334.02587724839,11.5651979744094,37.2191288307087
"a_15",2038,"NT","NC","2030s","Conventional N",1.61187783661417,11.0683274586614,44.7128569074803,3.08408938582677,6145.27329883795,12.6802052952756,60.4771515885827
"a_15",2038,"NT","NC","2030s","Reduced N",1.59643947047244,11.0782794212598,44.7323054645669,3.12880322834646,6201.05225295973,12.6747188917323,60.5358275846457
"a_15",2039,"NT","NC","2030s","Conventional N",1.69702256692913,9.98384817519685,10.4090615944882,0.173209712598425,363.672712905328,11.680870742126,22.2631420492126
"a_15",2039,"NT","NC","2030s","Reduced N",1.66874545275591,10.0003485059055,10.4214299330709,0.17470594488189,365.51672005493,11.6690939586614,22.2652298366142
"a_15",2040,"NT","NC","2030s","Conventional N",1.76460707480315,9.52445923031496,13.8139015885827,0.0853867854330709,123.485539667551,11.2890663051181,25.1883546791339
"a_15",2040,"NT","NC","2030s","Reduced N",1.61659762795276,9.63740889370079,13.8490835984252,0.0853867854330709,123.485539667551,11.2540065216535,25.1884769055118
"a_15",2041,"NT","NC","2040s","Conventional N",1.69420416732283,8.28164513188976,47.1563668248032,3.62242297637795,4523.51603900662,9.9758492992126,60.7546391003937
"a_15",2041,"NT","NC","2040s","Reduced N",1.67843156102362,8.32684164370079,47.148502738189,3.67340613385827,4552.28897891913,10.0052732047244,60.8271820767717
"a_15",2042,"NT","NC","2040s","Conventional N",2.06394432874016,11.2933704429134,15.4478912165354,0.0765378267716535,154.405008861167,13.3573147716535,28.8817438149606
"a_15",2042,"NT","NC","2040s","Reduced N",1.87678103740158,11.4089678425197,15.5145738287402,0.0765378267716535,154.405008861167,13.2857488799213,28.8768605354331
"a_15",2043,"NT","NC","2040s","Conventional N",1.56317766732284,8.31202092913386,29.7619252185039,2.22974154724409,7458.57590354104,9.87519859645669,41.8668653622047
"a_15",2043,"NT","NC","2040s","Reduced N",1.55123594291339,8.37250728937008,29.7222497992126,2.25898814566929,7539.31531403612,9.92374323228347,41.9049811771654
"a_15",2044,"NT","NC","2040s","Conventional N",1.65590500393701,7.9197861476378,38.3939614468504,6.83952116732284,4192.56338932856,9.57569115157481,54.809173765748
"a_15",2044,"NT","NC","2040s","Reduced N",1.63894138582677,7.93012511023622,38.4082756633858,6.86426790748032,4236.82079949281,9.56906649606299,54.8416100669291
"a_15",2045,"NT","NC","2040s","Conventional N",1.60220625590551,8.72333359251969,27.643201980315,3.76287932086614,8744.25491494993,10.3255398484252,41.7316211496063
"a_15",2045,"NT","NC","2040s","Reduced N",1.56993121062992,8.74365771850394,27.5828501594488,3.80820261220472,8824.54949075948,10.3135889291339,41.7046417007874
"a_15",2046,"NT","NC","2040s","Conventional N",1.62165056102362,9.88009532086614,46.4897668326772,3.51506340944882,9023.21965219831,11.5017458818898,61.5065761240157
"a_15",2046,"NT","NC","2040s","Reduced N",1.51298114173228,9.98019199212598,46.5087781988189,3.56051658070866,9116.74568954903,11.4931731338583,61.5624679133858
"a_15",2047,"NT","NC","2040s","Conventional N",1.69058133070866,9.4010473996063,24.427338976378,1.73006497047244,2882.31919106432,11.091628730315,37.2490326771654
"a_15",2047,"NT","NC","2040s","Reduced N",1.64646570472441,9.43239526771653,24.4487676220472,1.74526758267717,2901.17325695885,11.0788609724409,37.2728961771654
"a_15",2048,"NT","NC","2040s","Conventional N",1.93356042519685,8.88406541141732,13.6532843877953,0.113284348425197,290.167441349638,10.8176258366142,24.5841945728346
"a_15",2048,"NT","NC","2040s","Reduced N",1.80960698622047,8.96800527559055,13.6933654094488,0.113493687007874,290.319445871938,10.777612261811,24.5844713582677
"a_15",2049,"NT","NC","2040s","Conventional N",1.64776719685039,10.2951347637795,58.2059267677165,5.2949065,6181.13134253282,11.9429019606299,75.4437352283465
"a_15",2049,"NT","NC","2040s","Reduced N",1.63415914370079,10.3372331850394,58.1966803307087,5.35596382874016,6237.54660722226,11.9713923287402,75.524036488189
"a_15",2050,"NT","NC","2040s","Conventional N",1.66540413188976,11.444778257874,42.3475249822835,3.44795994488189,6201.0183618957,13.1101823897638,58.9056673169291
"a_15",2050,"NT","NC","2040s","Reduced N",1.65277394291339,11.4520031318898,42.2791075492126,3.48614660826772,6250.24800592517,13.1047770748032,58.8700312322835
"a_15",2051,"NT","NC","2050s","Conventional N",1.63802707086614,12.2639835374016,38.2344316712598,1.37365005708661,2948.56903167573,13.9020106082677,53.5100923366142
"a_15",2051,"NT","NC","2050s","Reduced N",1.55117593700787,12.3393426633858,38.2492549901575,1.38435355511811,2964.5241162119,13.8905186003937,53.5241271456693
"a_15",2052,"NT","NC","2050s","Conventional N",1.7266911023622,10.1774401417323,31.6290269901575,2.30132324606299,2627.81887420533,11.9041312440945,45.834481480315
"a_15",2052,"NT","NC","2050s","Reduced N",1.57919206889764,10.3065339625984,31.6547793562992,2.32461994094488,2659.48986764992,11.8857260314961,45.8651253287402
"a_15",2053,"NT","NC","2050s","Conventional N",1.7972831515748,9.2015161003937,50.3910855708661,2.32045208858268,5200.51887378601,10.9987992519685,63.7103369114173
"a_15",2053,"NT","NC","2050s","Reduced N",1.60573312204724,9.37308710433071,50.4176587972441,2.3413891003937,5087.84635872238,10.978820226378,63.7378681240157
"a_15",2054,"NT","NC","2050s","Conventional N",1.78217491535433,9.12612261023622,25.0833262401575,1.30552062204724,2203.90294283173,10.9082975255906,37.2971443877953
"a_15",2054,"NT","NC","2050s","Reduced N",1.76653273818898,9.14030292519685,25.0866014606299,1.31144857480315,2215.34222983076,10.9068356633858,37.3048856988189
"a_15",2055,"NT","NC","2050s","Conventional N",1.63509572834646,9.02495745669292,29.6138238090551,0.798433702755906,1238.97254666477,10.6600531850394,41.0723106968504
"a_15",2055,"NT","NC","2050s","Reduced N",1.59013114370079,9.05736810433071,29.6276728779528,0.802340765748032,1244.40194635193,10.6474992480315,41.0775128917323
"a_15",2056,"NT","NC","2050s","Conventional N",1.48289159055118,8.85125702559055,37.4742838090551,1.90465203740157,2447.461460169,10.3341486161417,49.7130844625984
"a_15",2056,"NT","NC","2050s","Reduced N",1.4691226003937,8.87092135236221,37.4736186948819,1.92134712598425,2471.37290555452,10.3400439527559,49.7350097736221
"a_15",2057,"NT","NC","2050s","Conventional N",1.48001111220472,9.05598573031496,17.4830804055118,0.493044472440945,2332.86550779162,10.5359968425197,28.5121217204724
"a_15",2057,"NT","NC","2050s","Reduced N",1.46097239173228,9.0632954488189,17.4956533346457,0.49583937992126,2345.89209075719,10.5242678405512,28.5157605551181
