"site_name","crop","management","climate_scenario","year","trans.yr","evap.yr","leach.yr","run.yr","sed.yr"
"a_1","almond-c","cn","rcp60",2039,64.430041,283.249895,0,0,0
"a_1","almond-c","cn","rcp60",2040,71.447147,235.622234,0,0,0
"a_1","almond-c","cn","rcp60",2041,107.834356,142.314429,62.14413,0,0
"a_1","almond-c","cn","rcp60",2042,103.726748,281.892563,0,0,0
"a_1","almond-c","cn","rcp60",2043,71.782631,210.401107,0,0,0
"a_1","almond-c","cn","rcp60",2044,92.264223,164.702779,62.006947,0.007322,0.0316890542444736
"a_1","almond-c","cn","rcp60",2045,98.472981,220.165026,15.511017,0,0
"a_1","almond-c","cn","rcp60",2046,107.201215,174.382896,47.182221,0,0
"a_1","almond-c","cn","rcp60",2047,95.683707,152.851044,66.066467,0,0
"a_1","almond-c","cn","rcp60",2048,102.10661,238.630878,0,0,0
"a_1","almond-c","cn","rcp60",2049,114.64358,158.008977,22.419321,0,0
"a_1","almond-c","cn","rcp60",2050,94.291471,149.821451,66.077653,0,0
"a_1","almond-c","cn","rcp60",2051,115.992604,181.460518,17.559251,0,0
"a_1","almond-c","cn","rcp60",2052,116.980369,157.708534,0,0,0
"a_1","almond-c","cn","rcp60",2053,123.896536,192.642084,65.998932,0,0
"a_1","almond-c","cn","rcp60",2054,110.166571,177.883199,0,0,0
"a_1","almond-c","cn","rcp60",2055,108.415603,322.909444,0,0,0
"a_1","almond-c","cn","rcp60",2056,95.778427,207.57792,0,0,0
"a_1","almond-c","cn","rcp60",2057,104.004869,216.437268,1.992515,0,0
"a_1","almond-c","cn","rcp60",2058,87.777165,217.001357,0,0,0
"a_1","almond-c","cn","rcp60",2059,121.813943,293.40451,6.371304,0,0
"a_1","almond-c","cn","rcp60",2060,98.361812,255.415123,0,0,0
"a_1","almond-c","cn","rcp60",2061,68.033794,149.354835,0,0,0
"a_1","almond-c","cn","rcp60",2062,111.628043,182.904598,11.535515,0,0
"a_1","almond-c","cn","rcp60",2063,108.412693,305.969502,0,0,0
"a_1","almond-c","cn","rcp60",2064,119.928215,169.233658,13.77704,0,0
"a_1","almond-c","cn","rcp60",2065,121.979075,251.587643,0,0,0
"a_1","almond-c","cn","rcp60",2066,79.735219,285.213485,0,0,0
"a_1","almond-c","cn","rcp60",2067,76.666145,253.080179,0,0,0
"a_1","almond-c","cn","rcp60",2068,109.181341,145.909162,141.235071,0,0
"a_1","almond-c","cn","rcp60",2069,103.911399,214.782292,0,0,0
"a_1","almond-c","cn","rcp60",2070,98.291479,290.852606,0,0,0
"a_1","almond-c","cn","rcp60",2071,99.576805,172.875683,336.047445,0.295819,0.539158231887501
"a_1","almond-c","cn","rcp60",2072,101.795405,184.752967,73.156001,0,0
"a_1","almond-c","rn","rcp26",2014,13.791154,150.563741,0.317582,19.407438,37.4525652758281
"a_1","almond-c","rn","rcp26",2015,22.655336,219.508746,0,0,0
"a_1","almond-c","rn","rcp26",2016,23.222443,206.130843,6.98624,0,0
"a_1","almond-c","rn","rcp26",2017,52.758824,179.849465,10.371645,0,0
"a_1","almond-c","rn","rcp26",2018,73.320219,149.642068,13.66139,1.034213,5.34708143117185
"a_1","almond-c","rn","rcp26",2019,73.796152,291.905752,0,0,0
"a_1","almond-c","rn","rcp26",2020,81.29258,311.716732,0,0,0
"a_1","almond-c","rn","rcp26",2021,70.8632,187.853144,13.441406,0,0
"a_1","almond-c","rn","rcp26",2022,78.107108,189.149711,6.182893,0,0
"a_1","almond-c","rn","rcp26",2023,78.79405,172.364815,191.86343,9.065659,21.0067437665146
"a_1","almond-c","rn","rcp26",2024,79.935602,222.082649,8.266259,0,0
"a_1","almond-c","rn","rcp26",2025,76.733342,165.577224,83.666986,0.277996,0.750089177929341
"a_1","almond-c","rn","rcp26",2026,82.903608,284.551626,0,0,0
"a_1","almond-c","rn","rcp26",2027,87.395413,277.0785,0,0,0
"a_1","almond-c","rn","rcp26",2028,79.239927,240.163993,0,0,0
"a_1","almond-c","rn","rcp26",2029,80.958922,292.947523,0,0,0
"a_1","almond-c","rn","rcp26",2030,91.14587,254.229914,1.759591,0,0
"a_1","almond-c","rn","rcp26",2031,83.169364,318.033499,0,0,0
"a_1","almond-c","rn","rcp26",2032,78.336379,179.31494,109.348887,0,0
"a_1","almond-c","rn","rcp26",2033,92.587081,206.487834,170.777956,0,0
"a_1","almond-c","rn","rcp26",2034,82.347968,289.726174,0,0,0
"a_1","almond-c","rn","rcp26",2035,67.770275,286.852747,0.377931,0,0
"a_1","almond-c","rn","rcp26",2036,89.779094,182.315209,12.493169,0,0
"a_1","almond-c","rn","rcp26",2037,97.846083,215.600944,13.040965,0,0
"a_1","almond-c","rn","rcp26",2038,87.873774,260.043221,14.639315,0,0
"a_1","almond-c","rn","rcp26",2039,74.832491,198.620288,353.352784,0,0
"a_1","almond-c","rn","rcp26",2040,86.426474,181.283742,161.221998,0.852823,5.83641008102549
"a_1","almond-c","rn","rcp26",2041,88.94421,294.686748,0,0,0
"a_1","almond-c","rn","rcp26",2042,92.483369,186.579979,11.012125,0,0
"a_1","almond-c","rn","rcp26",2043,95.789821,163.039465,25.180606,0.023275,0.0710655513937908
"a_1","almond-c","rn","rcp26",2044,91.19432,268.806436,0,0,0
"a_1","almond-c","rn","rcp26",2045,72.598835,235.011828,0,0,0
"a_1","almond-c","rn","rcp26",2046,74.999423,262.524614,0,0,0
"a_1","almond-c","rn","rcp26",2047,57.797588,267.683847,0,0,0
"a_1","almond-c","rn","rcp26",2048,100.334217,156.171905,10.906469,0,0
"a_1","almond-c","rn","rcp26",2049,96.94936,208.80114,0,0,0
"a_1","almond-c","rn","rcp26",2050,85.257828,187.986304,1.830004,0,0
"a_1","almond-c","rn","rcp26",2051,103.288555,306.249225,0,0.415165,0
"a_1","almond-c","rn","rcp26",2052,96.362129,228.383218,0,0,0
"a_1","almond-c","rn","rcp26",2053,102.640246,209.979026,41.552102,0,0
"a_1","almond-c","rn","rcp26",2054,80.19243,192.780058,238.23531,0,0
"a_1","almond-c","rn","rcp26",2055,95.576146,162.607023,61.299792,0,0
"a_1","almond-c","rn","rcp26",2056,98.354758,219.973182,0,0,0
"a_1","almond-c","rn","rcp26",2057,99.526753,245.373501,0,0,0
"a_1","almond-c","rn","rcp26",2058,79.65309,263.448299,8.503802,0,0
"a_1","almond-c","rn","rcp26",2059,83.629316,289.078573,0,0,0
"a_1","almond-c","rn","rcp26",2060,79.10895,299.517559,0,0,0
"a_1","almond-c","rn","rcp26",2061,83.874029,285.643369,0,0,0
"a_1","almond-c","rn","rcp26",2062,107.786475,158.954438,63.581451,0.010361,0.0378636176864104
"a_1","almond-c","rn","rcp26",2063,111.628617,302.019884,0,0,0
"a_1","almond-c","rn","rcp26",2064,99.007906,246.710404,4.59184,0,0
"a_1","almond-c","rn","rcp26",2065,100.307769,192.7039,20.051269,0,0
"a_1","almond-c","rn","rcp26",2066,90.447995,195.995641,12.4559,0,0
"a_1","almond-c","rn","rcp26",2067,90.288225,203.063017,30.052571,0,0
"a_1","almond-c","rn","rcp26",2068,100.891326,212.601189,1.238839,0,0
"a_1","almond-c","rn","rcp26",2069,109.193737,160.139089,24.314811,0,0
"a_1","almond-c","rn","rcp26",2070,103.363772,188.36501,0,0,0
"a_1","almond-c","rn","rcp26",2071,105.058181,228.875138,1.421715,0,0
"a_1","almond-c","rn","rcp26",2072,89.705083,167.288591,18.164611,0,0
"a_1","almond-c","rn","rcp60",2014,14.428558,159.031084,4.362162,75.340661,139.985473869625
"a_1","almond-c","rn","rcp60",2015,22.205077,223.464378,0,0,0
"a_1","almond-c","rn","rcp60",2016,20.900625,221.707644,153.28316,3.927958,16.2928167402583
"a_1","almond-c","rn","rcp60",2017,46.595014,241.655444,55.713589,0,0
"a_1","almond-c","rn","rcp60",2018,62.798056,189.130846,108.935196,0.316238,0.614998684227412
"a_1","almond-c","rn","rcp60",2019,73.988915,157.578104,39.248246,0.69544,4.97624240773832
"a_1","almond-c","rn","rcp60",2020,78.652394,283.912508,0,0,0
"a_1","almond-c","rn","rcp60",2021,69.959307,243.768649,0,0,0
"a_1","almond-c","rn","rcp60",2022,74.93499,181.251296,66.181863,0.637708,4.24091908632947
"a_1","almond-c","rn","rcp60",2023,83.912426,178.098149,10.655824,0,0
"a_1","almond-c","rn","rcp60",2024,81.833697,150.122844,3.261468,0,0
"a_1","almond-c","rn","rcp60",2025,78.849269,178.747032,44.870392,0,0
"a_1","almond-c","rn","rcp60",2026,88.330152,169.923965,6.049314,0,0
"a_1","almond-c","rn","rcp60",2027,88.275436,289.980801,0,0,0
"a_1","almond-c","rn","rcp60",2028,69.406237,268.123467,0,0,0
"a_1","almond-c","rn","rcp60",2029,95.588661,238.675114,0,0,0
"a_1","almond-c","rn","rcp60",2030,50.647809,230.717252,2.075953,0,0
"a_1","almond-c","rn","rcp60",2031,79.005853,204.879225,18.53382,0,0
"a_1","almond-c","rn","rcp60",2032,83.440852,165.634869,18.435345,0,0
"a_1","almond-c","rn","rcp60",2033,94.650526,216.625087,0,0,0
"a_1","almond-c","rn","rcp60",2034,75.892158,288.905437,0,0,0
"a_1","almond-c","rn","rcp60",2035,95.166549,246.219624,0,0,0
"a_1","almond-c","rn","rcp60",2036,87.750116,272.591095,0,0,0
"a_1","almond-c","rn","rcp60",2037,72.680216,267.189399,0,0,0
"a_1","almond-c","rn","rcp60",2038,95.755948,226.036717,1.585497,0,0
"a_1","almond-c","rn","rcp60",2039,64.199926,282.724089,0,0,0
"a_1","almond-c","rn","rcp60",2040,71.427794,235.329243,0,0,0
"a_1","almond-c","rn","rcp60",2041,95.439794,149.310434,62.345184,0,0
"a_1","almond-c","rn","rcp60",2042,104.783386,282.919921,0,0,0
"a_1","almond-c","rn","rcp60",2043,71.323277,208.863707,0,0,0
"a_1","almond-c","rn","rcp60",2044,83.321151,171.000414,63.636819,0.03248,0.168384628415438
"a_1","almond-c","rn","rcp60",2045,99.113127,221.348752,15.551911,0.000202,0.000140676108596541
"a_1","almond-c","rn","rcp60",2046,87.085109,186.446137,54.278154,0,0
"a_1","almond-c","rn","rcp60",2047,89.140468,159.470283,68.047306,0,0
"a_1","almond-c","rn","rcp60",2048,102.10661,242.536617,0,0,0
"a_1","almond-c","rn","rcp60",2049,97.270111,166.290563,23.793931,0,0
"a_1","almond-c","rn","rcp60",2050,85.750111,158.164215,74.276116,0,0
"a_1","almond-c","rn","rcp60",2051,111.848166,185.291765,17.685252,0,0
"a_1","almond-c","rn","rcp60",2052,96.008048,170.070752,0,0,0
"a_1","almond-c","rn","rcp60",2053,101.035337,214.397203,74.726852,0,0
