"site_name","region","crop","scenario.code","climate_scenario","year","dsoc","n2o","ch4","indirect_n2o","total_n2o","ghg","ghg_dsoc","ghg_ch4","ghg_n2o","ghg_indirect_n2o","ghg_total_n2o"
"h_2","h","hops",3,"rcp26",2038,-0.0163598066005391,5.41846127682554e-05,0,0.000267723627184957,0.000321908239953196,0.194037746030122,0.0599859575353102,0,0.0225640208884948,0.111487767606316,0.134051788494811
"h_2","h","hops",3,"rcp26",2039,-0.0287580757885522,6.62881139822797e-05,0,0.000271594671416931,0.00033788278539926,0.246150323525483,0.105446277891358,0,0.0276042646083349,0.11309978102579,0.140704045634125
"h_2","h","hops",3,"rcp26",2040,-0.0342633625062744,4.98022962219244e-05,0,0.000265497183296194,0.000315299479518068,0.256932041017575,0.125632329189673,0,0.0207390990695584,0.110560612758344,0.131299711827902
"h_2","h","hops",3,"rcp26",2041,-0.0208137747286796,6.84895976319527e-05,0,0.000264357078167265,0.000332846675799205,0.214924039712983,0.0763171740051586,0,0.0285210252995916,0.110085840408233,0.138606865707825
"h_2","h","hops",3,"rcp26",2042,-0.019241586268141,5.48623374667493e-05,0,0.000254202265122966,0.000309064602589616,0.199255813918758,0.0705524829831838,0,0.0228462448165105,0.105857086119064,0.128703330935575
"h_2","h","hops",3,"rcp26",2043,-0.0114630704685093,5.96218162443249e-05,0,0.000268984381534167,0.000328606197778561,0.178872267888047,0.0420312583845339,0,0.0248282277646009,0.112012781738912,0.136841009503513
"h_2","h","hops",3,"rcp26",2044,-0.0235833923116981,5.05318412288246e-05,0,0.000262039581515254,0.000312571422744048,0.216636109518939,0.0864724384762265,0,0.0210429024545747,0.109120768588138,0.130163671042713
"h_2","h","hops",3,"rcp26",2045,-0.0254048088441207,6.26921884597692e-05,0,0.000266940058652593,0.000329632247112431,0.230419251523609,0.0931509657617761,0,0.0261068184800324,0.1111614672818,0.137268285761833
"h_2","h","hops",3,"rcp26",2046,-0.0285426769548105,4.99833793155863e-05,0,0.000273964914114594,0.000323948293430081,0.239557807217493,0.104656482167639,0,0.0208145072435619,0.114086817806292,0.134901325049854
"h_2","h","hops",3,"rcp26",2047,-0.016549499562755,6.7678289349787e-05,0,0.000218594117772176,0.000286272407121918,0.179893507934009,0.0606814983967684,0,0.0281831733506612,0.0910288361865791,0.11921200953724
"h_2","h","hops",3,"rcp26",2048,-0.0109503566568229,5.11873505030101e-05,0,0.00031107071014935,0.000362258060652377,0.19100591442768,0.0401513077416839,0,0.0213158752451819,0.129538731440814,0.150854606685996
"h_2","h","hops",3,"rcp26",2049,-0.0111473813571247,4.9348029348587e-05,0,0.000259708366179172,0.000309056395527659,0.169573644923279,0.0408737316427906,0,0.0205499293644472,0.108149983916041,0.128699913280488
"h_2","h","hops",3,"rcp26",2050,-0.0133022767150905,7.23512341526831e-05,0,0.000263294437580936,0.000335645671733619,0.188547462208254,0.0487750146219988,0,0.0301291210792958,0.10964332650696,0.139772447586256
"h_2","h","hops",3,"rcp26",2051,-0.0244944938855665,6.17296312326247e-05,0,0.000267225549688446,0.00032895518092097,0.226799480302066,0.0898131442470774,0,0.0257059821490143,0.111280353905974,0.136986336054989
"h_2","h","hops",3,"rcp26",2052,-0.0144364796571924,5.42197264065281e-05,0,0.000284423538234525,0.000338643264641083,0.193954489661462,0.0529337587430388,0,0.0225786432107184,0.118442087707704,0.141020730918423
"h_2","h","hops",3,"rcp26",2053,-0.0290491046405193,5.39911819756395e-05,0,0.000255817564104538,0.000309808746080127,0.23552659722815,0.106513383681904,0,0.0224834707798555,0.10652974276639,0.129013213546245
"h_2","h","hops",3,"rcp26",2054,-0.0173722548789599,6.33269796395928e-05,0,0.00029033635750449,0.000353663337143983,0.210973786143092,0.0636982678895201,0,0.0263711636642018,0.12090435458937,0.147275518253572
"h_2","h","hops",3,"rcp26",2055,-0.0243542265184621,6.05517358827176e-05,0,0.000254806073409932,0.00031535780929255,0.220622832580277,0.0892988305676946,0,0.0252154728711602,0.106108529141422,0.131324002012582
"h_2","h","hops",3,"rcp26",2056,-0.0139405703425016,6.22082373647473e-05,0,0.000257848962601116,0.000320057199965863,0.184396387146427,0.0511154245891726,0,0.0259052874168911,0.107375675140363,0.133280962557255
