"site_name","crop","scenario.code","climate_scenario","year","soc","n2o","ch4","indirect_n2o","total_n2o","ghg","ghg_soc","ghg_ch4","ghg_n2o","ghg_indirect_n2o","ghg_total_n2o"
"h_7","hops",2,"rcp60",2037,-0.082191171792289,8.01304029320587e-05,-0.000232544405288,0.000376176035049,0.000456306437981,0.482705010209878,0.301367629905059,-0.008681657797423,0.033368589220993,0.156650448881248,0.190019038102241
"h_7","hops",2,"rcp60",2038,-0.090448985754654,8.43224157283146e-05,-0.000240147342855,0.000345526364371,0.000429848780099,0.501682093727438,0.331646281100397,-0.008965500799915,0.035114263121148,0.143887050305807,0.179001313426955
"h_7","hops",2,"rcp60",2039,-0.071157607386652,7.59615597391948e-05,-0.000215251334879,0.000360411703091,0.00043637326283,0.434593471699046,0.26091122708439,-0.008036049835471,0.031632563805679,0.150085730644448,0.181718294450127
"h_7","hops",2,"rcp60",2040,-0.071556968956068,0.000153240624256,-0.000234843172407,0.000361159669762,0.000514400294019,0.46781905398312,0.262375552838917,-0.008767478436545,0.063813774243951,0.150397205336797,0.214210979580748
"h_7","hops",2,"rcp60",2041,-0.072505458382633,9.13048721174424e-05,-0.000239357087498,0.000239992544595,0.000331297416713,0.39487905942947,0.265853347402987,-0.008935997933249,0.038021957460335,0.099939752499397,0.137961709959732
"h_7","hops",2,"rcp60",2042,-0.061435829242237,8.99994873457469e-05,-0.000240352657845,0.000459411465512,0.000549410952858,0.445081959554495,0.225264707221537,-0.008973165892886,0.037478357944693,0.191312060281151,0.228790418225844
"h_7","hops",2,"rcp60",2043,-0.081441408153482,0.000108522404572,-0.000257886158967,0.000333713470789,0.000442235875361,0.473150400439219,0.298618496562767,-0.009627749934775,0.04519182990395,0.138967823907277,0.184159653811226
"h_7","hops",2,"rcp60",2044,-0.058799604861268,0.000100091940935,-0.000217797186704,0.000348864862974,0.000448956803909,0.394425896672702,0.215598551157982,-0.008131094970273,0.041681143975,0.145277296509994,0.186958440484993
"h_7","hops",2,"rcp60",2045,-0.072816833241642,0.000108678093466,-0.000259010542247,0.000262186971006,0.000370865064472,0.411764137299785,0.266995055219355,-0.009669726910549,0.045256663207573,0.109182145783406,0.154438808990979
"h_7","hops",2,"rcp60",2046,-0.07850231384149,7.67577983279666e-05,-0.000222538017164,0.000454091169799,0.000530848968127,0.500594408885957,0.287841817418796,-0.008308085974135,0.031964140303718,0.189096537137578,0.221060677441296
"h_7","hops",2,"rcp60",2047,-0.072518174927184,7.81938499049981e-05,-0.000221245932703,0.000306013361081,0.000384207210987,0.417634986582447,0.265899974733007,-0.008259848154232,0.032562153210439,0.127432706793234,0.159994860003672
"h_7","hops",2,"rcp60",2048,-0.058550870816087,8.88514811736067e-05,-0.000225287422512,0.000330010032602,0.000418861513776,0.380701697693337,0.214686526325651,-0.008410730440465,0.037000295374445,0.137425606433707,0.174425901808152
"h_7","hops",2,"rcp60",2049,-0.072176706589524,0.000112148040529,-0.000248656857717,0.000274930820726,0.000387078861255,0.416555432029435,0.264647924161587,-0.009283189354774,0.046701648305926,0.114489048916696,0.161190697222622
